No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
146	174	172.7574	173.4943	1.9568	0.3198	11.8203	10.3159	27.4178	24.7692
147	175	155.1557	156.2023	0.3256	0.0363	1.8950	0.5145	20.9196	32.8040
148	178	167.4969	168.1985	0.4958	0.1228	2.4980	4.2197	27.7790	32.4603
149	180	164.4848	165.4339	0.6184	0.0540	3.2053	0.7709	31.4648	28.8945
150	181	158.4414	159.2090	0.7106	0.1538	3.8401	5.3163	20.5270	23.3700
151	182	155.9724	156.7145	2.0587	0.3114	11.2734	10.3065	0.0000	0.0000
152	183	170.7542	171.5500	0.4408	0.0857	2.6856	2.4578	19.3977	25.1592
153	186	174.2215	174.9539	1.5749	0.3735	8.5025	11.5745	26.0014	27.5652
154	187	178.7526	179.4842	1.6366	0.3683	8.7345	11.1011	0.0000	0.0000
155	188	155.6260	156.3725	2.2016	0.3496	12.1106	10.8427	22.5544	28.2262
156	190	171.7080	172.5388	0.5370	0.1129	2.8227	3.3107	0.0000	0.0000
157	191	170.7118	172.6440	0.6320	0.0160	3.6369	0.1225	24.2002	35.3067
158	192	156.9135	158.6701	0.2339	0.0203	1.1831	0.2715	30.1476	20.4648
159	193	166.6304	167.4464	0.8849	0.0766	4.7261	3.3676	31.1579	29.8362
160	194	173.6384	174.4073	1.7338	0.2283	9.3835	8.1396	23.6177	31.0104
161	196	157.4382	158.2083	0.8208	0.1835	4.3020	5.9877	21.5628	22.3259
162	197	175.5060	176.2839	3.2110	0.4316	17.7969	11.0055	0.0000	0.0000
163	198	164.0135	164.7163	1.9171	0.1896	10.3683	5.4606	25.5421	25.4142
164	199	171.6244	172.4046	1.3499	0.3639	7.1745	9.2821	0.0000	0.0000
165	200	178.3635	179.0604	0.5126	0.2829	2.5724	10.8207	0.0000	0.0000
166	783	175.0379	175.7920	2.2254	0.2431	11.8064	8.6390	0.0000	0.0000
167	784	156.4247	158.2628	2.8979	0.0264	15.8648	0.3210	0.0000	0.0000
168	785	175.7943	176.5523	1.0066	0.1797	5.2459	6.6776	21.4543	30.5898
169	787	178.3646	179.1552	1.4456	0.2161	7.7057	6.5620	24.2727	22.2957
170	788	173.4149	174.1401	1.9803	0.5160	10.4991	15.9338	25.4569	25.8173
171	790	171.6930	172.4054	1.9101	0.7751	10.5297	30.8935	0.0000	0.0000
172	791	166.8812	167.7998	1.1895	0.0485	6.3955	1.2864	0.0000	0.0000
173	792	161.3546	162.1715	0.7037	0.0839	3.7163	2.6841	24.2199	32.8143
174	793	169.0448	169.8524	1.3180	0.0822	6.8801	2.4648	20.9080	26.6705
175	794	174.8063	175.5433	1.9985	0.3092	10.7244	10.1429	27.4315	28.6771
176	795	158.8150	159.5843	1.0618	0.0820	5.5868	2.8828	28.7582	31.5886
177	796	740.2385	756.0391	0.0448	0.0149	0.0742	0.0719	0.0000	0.0000
178	798	171.1596	171.9660	0.4620	0.0659	2.4559	1.2531	18.8465	26.7503
179	800	171.9973	172.8689	0.4976	0.0375	2.4719	0.6069	20.3834	22.6618
180	801	154.8218	155.5906	2.1592	0.4201	11.5762	12.5385	26.5429	28.8615
181	802	174.8437	175.6118	2.0688	0.1445	11.4067	4.3405	30.2324	27.8100
182	803	176.3487	177.1753	1.9759	0.1710	10.8233	4.6386	24.4555	27.0637
183	804	167.7378	168.5054	1.5495	0.3392	8.3938	10.0418	0.0000	0.0000
184	805	157.9373	158.7375	1.4843	0.0988	7.9219	2.7018	0.0000	0.0000
185	806	164.0805	164.8347	1.6435	0.2140	8.9313	6.5347	30.2659	26.3742
186	807	173.9725	174.7500	1.9653	0.2248	10.6717	8.2870	31.3563	25.1572
187	808	163.1748	163.8892	1.4899	0.3308	7.9185	13.0666	24.3748	28.8662
188	809	178.1895	178.9437	0.7289	0.1263	3.9069	4.0489	0.0000	0.0000
189	810	178.9391	179.7508	0.8563	0.0619	4.5021	1.5113	19.5756	25.4439
190	811	170.6803	171.4765	0.2972	0.0445	1.5247	1.0908	20.3189	31.0111
191	812	165.0774	166.0418	0.5022	0.0452	2.7296	0.7609	0.0000	0.0000
192	813	172.5171	173.3105	1.6759	0.2197	9.1230	7.0824	24.9274	28.6987
193	815	173.7085	174.5141	0.4566	0.0521	2.3493	1.0128	0.0000	0.0000
194	816	162.0325	162.8330	3.8754	0.2566	26.8239	9.2364	0.0000	0.0000
195	817	158.5721	159.3873	0.3540	0.0801	1.7771	1.2340	20.0122	22.7661
196	819	50.1116	159.8431	0.0421	0.0629	0.1099	1.0089	0.0000	0.0000
197	820	172.4671	173.2333	0.4493	0.1189	2.3147	4.4215	24.2864	20.8744
198	821	165.7647	166.5414	1.0006	0.3323	5.6113	10.1611	22.3992	28.6406
199	822	154.9563	155.7867	0.3369	0.1394	1.7460	4.2398	19.0055	26.9137
200	823	174.3721	175.2487	0.5513	0.1418	2.8567	3.9039	27.3038	20.4230
201	824	163.2541	164.2393	3.8754	0.1355	33.0404	4.1312	0.0000	0.0000
202	825	155.3011	156.3200	0.1458	0.0349	0.7549	0.5582	35.7037	29.1278
203	826	169.6222	170.3636	2.0138	0.2866	10.9933	9.4014	23.7760	27.9873
204	827	162.8220	163.8191	0.1827	0.0480	0.9062	0.7884	34.4692	29.0564
205	828	163.3481	164.1319	0.1895	0.1154	1.0091	3.6916	21.6487	31.7456
206	830	159.7843	160.5508	1.0709	0.3641	6.2825	12.8476	0.0000	0.0000
207	831	155.8520	156.5948	1.8641	0.4278	10.2779	12.6406	28.9519	26.7180
208	832	178.3485	179.0944	1.8249	0.2612	9.7437	9.3379	0.0000	0.0000
209	833	160.1760	160.9348	1.8205	0.4301	9.7352	17.6446	24.9139	24.3507
210	834	171.2615	172.0785	0.6020	0.0916	3.1640	2.3048	19.5710	25.7174
211	835	161.4906	162.2555	2.0323	0.3554	10.8291	11.7844	0.0000	0.0000
212	837	168.5452	169.3584	1.6323	0.2619	8.8601	10.8766	27.2673	28.4664
213	838	164.0309	164.7948	1.9408	0.2161	10.4339	7.6074	28.9932	28.3374
214	839	169.3484	170.0672	1.8210	0.2864	9.9513	7.7038	0.0000	0.0000
215	840	168.6986	169.4414	1.5962	0.1511	8.7961	4.4885	0.0000	0.0000
216	841	163.4106	164.1642	0.5473	0.1729	2.9934	4.6515	21.3951	29.5317
217	843	167.2757	168.3690	0.3208	0.0403	1.8968	0.6764	24.4942	19.8331
218	844	176.7372	177.4728	1.8533	0.1897	9.9205	7.2374	21.1636	25.2328
219	846	168.6838	169.4775	0.5733	0.1088	3.1341	3.4418	27.7151	22.1129
220	848	168.1602	168.9341	1.8388	0.2770	9.8954	8.5513	27.4054	26.1462
221	850	157.1746	157.9183	1.0907	0.2444	5.7830	10.3046	28.7184	23.3652
222	852	160.1870	160.9252	2.1125	0.5618	11.1330	19.1826	27.5697	24.3304
223	853	155.7994	156.5257	1.8368	0.2224	9.9895	6.8334	0.0000	0.0000
224	855	165.0466	165.8259	1.9675	0.4113	10.5177	14.4853	24.9985	28.2149
225	856	175.3061	176.0910	0.4184	0.0302	2.0993	0.4906	0.0000	0.0000
226	857	178.4209	179.1725	2.1115	0.5589	11.2691	20.6251	26.8022	25.7980
227	858	175.1286	175.9022	0.7590	0.1767	3.9088	5.3296	28.3590	31.6434
228	859	173.7203	174.4844	1.1102	0.2509	5.7466	8.2997	28.1595	22.9825
229	860	166.8512	167.6332	2.4667	0.4209	13.3148	14.0585	26.0716	27.6000
230	862	167.4960	168.3002	1.3115	0.0656	6.8668	2.0558	22.3456	22.5672
231	863	155.9448	156.7058	1.2744	0.2682	6.8121	9.8562	0.0000	0.0000
232	864	155.3645	156.1555	0.9506	0.2881	5.1357	7.1155	0.0000	0.0000
233	865	162.8509	163.6234	1.3063	0.3053	7.0741	10.3088	28.7871	30.6162
234	866	173.7126	174.4785	2.2937	0.6587	12.4108	29.5565	27.1574	29.7094
235	867	175.7185	176.4702	1.0785	0.1930	5.4372	7.3176	28.1752	31.6676
236	868	158.0045	158.8375	3.8754	0.3127	32.9066	10.3095	0.0000	0.0000
237	869	169.4032	170.1393	2.0397	0.2273	11.8550	8.3055	0.0000	0.0000
238	870	170.3023	171.0405	2.2581	0.1902	12.1445	5.3043	25.5142	28.9268
239	871	170.8388	172.4005	0.1063	0.0133	0.6068	0.1824	0.0000	0.0000
240	872	174.3333	175.0859	1.7780	0.2952	10.6446	9.2579	30.3526	27.2860
241	873	178.4165	179.1757	1.7235	0.4147	10.1793	14.6470	23.8577	27.6857
242	874	168.8174	169.5807	1.9834	0.2728	10.5764	8.2413	29.6411	25.5406
243	875	161.8173	162.6152	1.8443	0.0844	10.1179	2.0396	19.7470	29.4880
244	877	154.8475	155.6004	1.1607	0.1486	6.3055	5.0739	22.9840	22.1079
245	878	156.6281	157.4227	2.7998	0.2104	15.2503	6.6895	27.8531	22.4954
246	880	166.8208	167.6895	0.4260	0.0948	2.1839	1.4525	21.2461	21.4808
247	881	167.2225	168.0571	0.4807	0.0564	2.7974	0.9080	29.7287	32.6409
248	882	167.1582	168.3904	0.1820	0.0303	0.8450	0.4823	33.6455	25.7587
249	883	163.6300	164.3886	1.8813	0.3328	10.0165	10.0708	22.3542	29.0095
250	884	164.3091	165.1590	0.9662	0.1013	5.9097	3.0093	25.2537	20.9119
251	885	156.0463	156.9019	1.8018	0.1272	9.7604	3.9920	26.8856	31.0117
252	886	163.4123	164.9004	0.4144	0.0613	1.9908	0.7449	0.0000	0.0000
253	887	172.7275	173.4737	1.9583	0.2143	10.6792	5.4958	0.0000	0.0000
254	888	159.3013	160.9485	0.1517	0.0198	0.6983	0.1973	34.6353	29.5024
255	889	168.8569	169.5993	0.9974	0.1431	5.2251	3.6861	0.0000	0.0000
256	890	157.9304	158.7405	0.5645	0.1099	2.9497	4.1527	22.5968	21.0686
257	891	171.6305	172.3739	1.1766	0.2940	6.1652	8.5515	22.5897	30.9863
258	892	172.5243	173.2612	1.2466	0.3135	6.6576	12.0590	29.3291	28.6937
259	893	171.9109	172.7040	1.0373	0.0831	5.3152	2.7679	0.0000	0.0000
260	896	160.7710	161.5117	0.5964	0.0566	3.0953	1.7791	0.0000	0.0000
261	899	179.4416	180.2145	1.8741	0.3686	10.0963	12.5259	25.7072	28.4241
262	900	165.9109	166.6797	1.8950	0.3658	9.9048	10.1842	25.0335	25.8088
263	902	172.1543	952.4971	0.2608	0.0152	1.2482	0.0510	0.0000	0.0000
264	904	163.3415	164.2302	1.2615	0.0663	6.8278	1.8762	28.0151	32.5003
265	905	175.6242	176.3950	1.7730	0.4544	9.4035	16.6211	0.0000	0.0000
266	906	167.7349	168.4833	1.7530	0.3385	9.8514	9.5600	24.8952	23.5169
267	907	163.0960	163.8768	2.0375	0.1120	10.9629	3.3192	21.1959	25.7805
268	908	171.8513	172.5848	0.5958	0.3014	3.1244	8.9381	30.7008	29.8830
269	909	170.3419	171.0680	1.7667	0.4253	9.5877	16.5653	24.3780	28.1177
270	910	160.7226	161.4653	1.7776	0.3147	9.4501	8.3371	22.1096	25.7409
271	911	171.3258	172.0931	1.6510	0.1855	8.7750	5.9066	25.2779	22.3610
272	912	169.1984	169.9922	0.9076	0.1129	4.7654	2.3121	22.4931	21.5931
273	913	174.0066	174.7579	1.4828	0.3683	7.8305	10.6049	24.1955	30.0585
274	914	165.7502	166.5162	1.6659	0.2777	9.3206	10.2491	0.0000	0.0000
275	915	155.0316	155.8347	0.2777	0.0667	1.3950	1.8252	0.0000	0.0000
276	916	164.4841	165.2973	0.8926	0.1527	4.7061	4.7667	23.5403	31.7227
277	917	166.2068	166.9459	1.6382	0.1441	8.6590	3.8233	21.2715	30.1455
278	918	158.7235	159.5177	2.0181	0.6798	10.9464	24.2894	22.6216	24.9307
279	921	178.1345	178.9215	1.3651	0.3670	7.1775	14.8131	29.3508	25.1386
280	922	165.1551	165.9767	1.3126	0.0806	6.8866	2.2571	25.6440	21.1694
281	923	167.6617	168.4242	0.4349	0.3585	2.2531	12.9757	0.0000	0.0000
282	924	177.7138	178.4843	2.1552	0.1696	11.3058	5.0707	29.0749	22.4290
283	925	167.3939	168.1173	1.0309	0.0868	5.9383	3.0363	0.0000	0.0000
284	926	174.0594	174.7739	0.5929	0.0770	3.1499	1.9622	19.3231	25.7549
285	927	168.1206	168.9127	0.4814	0.0862	2.5005	2.4315	0.0000	0.0000
286	928	155.6974	156.4613	1.2910	0.1902	6.6687	6.0401	30.1329	24.1766
287	930	162.2897	163.0505	1.5515	0.1199	8.1925	3.4355	25.0203	22.1280
288	932	170.0714	170.9415	0.2143	0.0679	1.3894	2.3543	0.0000	0.0000
289	933	164.4908	165.2794	1.7014	0.1977	9.0101	6.2456	0.0000	0.0000
290	934	173.3690	174.0850	0.8281	0.2549	4.3529	9.6868	21.1000	30.1652
291	935	790.4493	177.6659	0.0404	0.0194	0.0526	0.2209	0.0000	0.0000
292	936	170.8862	171.6329	1.5507	0.3817	8.0307	10.9268	0.0000	0.0000
293	939	167.1945	167.9248	1.2637	0.1581	6.7419	5.3845	27.2163	31.4570
294	940	166.0585	166.9701	0.4251	0.0461	2.1564	0.7897	33.2628	24.6626
295	941	163.6960	164.4386	2.4529	0.2338	13.4820	7.1711	26.8398	29.0564
296	943	158.3123	159.1169	1.9406	0.1848	10.5160	5.7281	30.8972	26.8331
297	944	175.8310	176.7555	0.6404	0.0643	3.7767	1.5721	20.4892	24.3444
298	945	178.3848	179.1973	1.9090	0.2292	10.3159	7.9775	21.9962	30.3879
299	946	163.9221	164.6981	2.3744	0.2835	13.5901	7.8584	0.0000	0.0000
300	947	155.2298	155.9765	1.8924	0.1962	9.8191	5.5175	24.2654	30.8867
301	948	159.6793	160.5175	1.2907	0.2042	7.6345	5.3273	29.1977	23.8509
302	949	160.0427	160.7836	1.6794	0.3087	8.9921	11.0402	25.7344	25.6566
303	950	179.1513	179.9072	1.4187	0.2609	7.6849	10.3139	0.0000	0.0000
304	951	172.4139	173.1708	2.2890	0.3022	12.2137	9.3130	0.0000	0.0000
305	953	156.2858	157.0126	2.1843	0.2467	11.5431	9.7755	23.6017	23.9828
306	954	166.6108	167.2957	1.0837	0.0562	5.6659	1.5348	20.1259	25.9499
307	955	167.2943	168.0768	2.4384	0.3030	13.1464	10.3832	26.2117	25.1676
308	956	179.1068	179.8651	1.3622	0.2683	7.2841	7.8662	28.9167	23.9874
309	957	172.2385	173.0066	0.7634	0.1499	3.9462	3.6848	20.4969	29.1790
