;Reco;X;Y;BadFlag;SigmaOutNoise;Baseline;risetime;Amplitude
254;TRUE;29.3256;29.8493;FALSE;55.50205409;-0.000565235;9.87E-08;0.02419183
255;TRUE;27.3113;23.4889;FALSE;157.0633066;-0.00012253;8.35E-08;0.068442332
256;TRUE;32.2828;26.0082;FALSE;102.5910988;-0.000737587;8.21E-08;0.043138201
257;TRUE;29.5637;29.5502;FALSE;64.05886922;-0.00048554;9.54E-08;0.026282247
258;FALSE;;;;;;;
259;TRUE;26.844;22.5974;FALSE;180.4467171;-0.000755345;8.21E-08;0.073356512
260;FALSE;;;;;;;
261;FALSE;;;;;;;
262;TRUE;31.0031;26.0963;FALSE;133.142755;-0.000473718;8.06E-08;0.05717357
263;FALSE;;;;;;;
264;FALSE;;;;;;;
265;TRUE;24.6238;28.1617;FALSE;205.6578015;-0.000931271;7.90E-08;0.083446942
266;TRUE;28.8564;30.8061;FALSE;13.31579239;-0.001014313;5.69E-08;0.005897915
267;TRUE;29.9986;20.4201;FALSE;32.27440925;-0.000422811;1.05E-07;0.01412238
268;FALSE;;;;;;;
269;FALSE;;;;;;;
270;TRUE;29.8944;28.0551;FALSE;79.79202543;-0.000467165;8.11E-08;0.036528059
271;FALSE;;;;;;;
272;TRUE;24.4398;21.4979;FALSE;112.7543041;-0.000629534;8.56E-08;0.047628331
273;TRUE;28.2997;24.5843;FALSE;109.8784052;-0.000585208;8.48E-08;0.045119686
274;TRUE;24.1219;23.1524;FALSE;226.5493807;-0.000539712;8.05E-08;0.095428043
275;TRUE;31.8951;21.2312;FALSE;55.61152059;-0.000665888;8.98E-08;0.024202738
276;TRUE;32.1434;25.805;FALSE;63.61798811;-0.000707142;8.23E-08;0.028260763
277;TRUE;25.815;29.7535;FALSE;23.51331606;-0.000484018;9.67E-08;0.010099401
278;TRUE;22.8279;28.4161;FALSE;52.51895794;-0.000470786;9.00E-08;0.025072405
279;TRUE;23.2233;26.7326;FALSE;251.9225657;-0.000482296;7.82E-08;0.106052781
280;TRUE;33.2035;27.0329;TRUE;4.467606331;-0.000483641;2.00E-10;0.001947923
281;TRUE;27.5423;28.7448;FALSE;203.498129;-0.000757785;7.90E-08;0.081653817
282;TRUE;30.7973;31.959;TRUE;3.576075021;-0.000486061;1.00E-10;0.001641944
283;TRUE;31.9015;24.4859;FALSE;232.9018973;-0.000607756;8.11E-08;0.099747265
284;FALSE;;;;;;;
285;TRUE;33.0365;25.9073;FALSE;62.21869271;-0.000922738;9.49E-08;0.027751991
286;TRUE;32.3496;23.9116;FALSE;25.96588442;-0.000387232;1.03E-07;0.011161332
287;FALSE;;;;;;;
288;TRUE;25.9007;22.2852;FALSE;296.0236156;-0.000509936;8.04E-08;0.122697268
289;TRUE;26.1453;27.3142;FALSE;145.2945937;-0.000695612;7.95E-08;0.060026136
290;TRUE;32.6186;24.3107;FALSE;9.234523552;-0.000616479;1.06E-07;0.003986661
291;FALSE;;;;;;;
292;TRUE;23.8019;20.9777;FALSE;140.1605194;-0.000748182;8.31E-08;0.055485112
293;TRUE;31.0749;26.2758;FALSE;85.67828458;-0.000935097;8.40E-08;0.037450771
294;FALSE;;;;;;;
295;TRUE;31.9792;21.5701;FALSE;54.07386536;-0.000224211;8.41E-08;0.023347176
296;FALSE;;;;;;;
297;TRUE;27.1455;26.5334;FALSE;161.914875;-0.000682754;8.04E-08;0.066922146
298;TRUE;32.1174;20.7598;FALSE;28.87141497;-0.000856689;1.05E-07;0.011566215
299;TRUE;25.1288;20.3277;FALSE;145.2478567;-0.000558547;8.16E-08;0.066400327
300;TRUE;31.5775;25.5347;FALSE;147.105059;-0.000361548;8.09E-08;0.062075148
301;TRUE;26.6838;27.0221;FALSE;278.6622855;-0.000184529;7.82E-08;0.126172371
302;FALSE;;;;;;;
303;TRUE;30.753;23.3885;FALSE;93.48459855;-0.00043468;8.56E-08;0.039095351
304;FALSE;;;;;;;
305;TRUE;23.577;27.1402;FALSE;126.1655722;-0.000747313;8.25E-08;0.051306272
306;TRUE;29.8244;30.6779;FALSE;25.5662055;-0.000636282;1.06E-07;0.01187224
307;TRUE;29.5586;24.7053;FALSE;169.8117066;-0.000615508;8.20E-08;0.070984892
308;TRUE;33.3586;29.3697;TRUE;3.743676859;-0.000925736;1.00E-10;0.001453935
309;TRUE;22.3591;27.0099;FALSE;57.48485063;-0.000307094;1.20E-07;0.023705353
310;TRUE;31.6491;29.6532;FALSE;23.01806662;-0.000374538;8.81E-08;0.00943832
311;TRUE;30.4898;22.256;FALSE;163.5811707;-0.000482864;8.21E-08;0.067448944
312;TRUE;27.2226;31.4701;TRUE;4.606095462;-0.00048784;1.00E-10;0.001941131
313;FALSE;;;;;;;
314;TRUE;32.555;27.3924;FALSE;49.90651286;-0.00045551;1.09E-07;0.021024726
315;FALSE;;;;;;;
316;FALSE;;;;;;;
317;FALSE;;;;;;;
318;TRUE;26.7654;22.9624;FALSE;299.2579808;-0.00064789;8.15E-08;0.124211994
319;TRUE;25.5095;29.2812;FALSE;132.3674167;-0.000466641;8.00E-08;0.056334846
320;TRUE;27.5152;21.6171;FALSE;215.7013383;-0.000481061;8.21E-08;0.088141725
321;TRUE;31.6051;22.6424;FALSE;16.7870324;-0.000816668;8.61E-08;0.00707368
322;TRUE;26.42;26.0441;FALSE;220.4802016;-0.000510991;8.24E-08;0.100632757
323;TRUE;31.8765;30.2873;FALSE;17.93222436;-0.000741381;1.07E-07;0.007831317
324;FALSE;;;;;;;
325;TRUE;31.3247;29.1426;FALSE;39.73183808;-0.000472599;9.84E-08;0.016565887
326;TRUE;25.9173;23.9046;FALSE;268.8505638;-0.000623184;8.12E-08;0.111202037
327;TRUE;27.4725;25.4362;FALSE;352.3986197;-0.000646737;8.20E-08;0.142255161
328;TRUE;28.7877;30.8562;FALSE;18.23839954;-0.000823148;8.39E-08;0.007425237
329;FALSE;;;;;;;
330;TRUE;33.2966;23.3067;FALSE;26.15033365;-0.000454153;7.60E-08;0.011366834
331;FALSE;;;;;;;
332;TRUE;26.7268;23.9255;FALSE;252.4559861;-0.000579722;8.03E-08;0.115412228
333;TRUE;33.0171;28.2819;TRUE;4.359948019;-0.000566162;2.00E-10;0.00190951
334;TRUE;30.9719;26.0457;FALSE;164.783579;-0.000923493;8.06E-08;0.071182831
335;FALSE;;;;;;;
336;TRUE;25.7117;27.5266;FALSE;270.5889949;-0.000928471;7.75E-08;0.111895627
337;TRUE;31.3592;26.0135;FALSE;124.9550631;-0.000550208;8.25E-08;0.055867294
338;TRUE;25.2658;31.1076;FALSE;46.37486382;-0.000715869;9.38E-08;0.019775869
339;FALSE;;;;;;;
340;FALSE;;;;;;;
341;TRUE;28.4553;20.5763;FALSE;171.780153;-0.000730536;8.17E-08;0.071788312
342;TRUE;25.1524;27.9825;FALSE;198.6913981;-0.00087988;7.88E-08;0.084668446
343;FALSE;;;;;;;
344;TRUE;27.8503;30.0026;FALSE;61.71784949;-0.000849279;8.04E-08;0.028964424
345;TRUE;30.372;31.1901;FALSE;42.61092468;-0.001048672;9.19E-08;0.017455694
346;TRUE;32.7272;23.4344;FALSE;80.97329326;-0.000615087;8.22E-08;0.035246349
347;TRUE;32.0506;28.1418;FALSE;38.1699297;-0.000674292;9.62E-08;0.015570284
348;FALSE;;;;;;;
349;TRUE;34.5792;28.268;FALSE;12.54224134;-0.000529983;6.92E-08;0.005240677
